Title,URL,Volume Issue,Vol Issue Year
Disclosure of IT-related risk factors in corporate filings,https://www.sciencedirect.com/science/article/pii/S0167923625000041,Volume 190,Mar-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923624002276,Volume 189,Feb-25
A decision support framework for misstatement identification in financial reporting: A hybrid tree-augmented Bayesian belief approach,https://www.sciencedirect.com/science/article/pii/S0167923624002021,Volume 189,Feb-25
Digitalization of the natural sciences: Design science research and computational science,https://www.sciencedirect.com/science/article/pii/S016792362400201X,Volume 189,Feb-25
Realizing desired effects from digitized product affordances: A case study of key inhibiting factors,https://www.sciencedirect.com/science/article/pii/S0167923624001982,Volume 189,Feb-25
Time for a change! Uprooting users embedded in the status quo from habitual decision-making,https://www.sciencedirect.com/science/article/pii/S0167923624002045,Volume 189,Feb-25
IS/IT Backsourcing decision making - A design science research approach,https://www.sciencedirect.com/science/article/pii/S0167923624002124,Volume 189,Feb-25
Can earnings conference calls tell more lies? A contrastive multimodal dialogue network for advanced financial statement fraud detection,https://www.sciencedirect.com/science/article/pii/S0167923624002148,Volume 189,Feb-25
Integrating direct and indirect views for group recommendation: An inter- and intra-view contrastive learning method,https://www.sciencedirect.com/science/article/pii/S0167923624002136,Volume 189,Feb-25
Are you caught in the dilemma of metaverse avatars? The impact of individuals' congruity perceptions on paradoxical emotions and actual behaviors,https://www.sciencedirect.com/science/article/pii/S0167923624002203,Volume 189,Feb-25
Metaverse adoption for competitive edge: The role of implementation capability & willingness to change,https://www.sciencedirect.com/science/article/pii/S0167923624002185,Volume 189,Feb-25
Unveiling the metaverse: A comparison of multiple environments,https://www.sciencedirect.com/science/article/pii/S0167923624002173,Volume 189,Feb-25
From game to beyond game: Exploring the role of 3D rendering technology in user immersion and virtual consumption in the Metaverse,https://www.sciencedirect.com/science/article/pii/S0167923624002161,Volume 189,Feb-25
Towards sustainable consumption decision-making: Examining the interplay of blockchain transparency and information-seeking in reducing product uncertainty,https://www.sciencedirect.com/science/article/pii/S0167923624002033,Volume 189,Feb-25
Impact of multidimensional presence on user well-being in metaverse communities,https://www.sciencedirect.com/science/article/pii/S016792362400215X,Volume 189,Feb-25
The implications of account suspensions on online discussion platforms,https://www.sciencedirect.com/science/article/pii/S0167923624002227,Volume 189,Feb-25
Metaverse advertising and promotional effectiveness: The route from immersion to joy,https://www.sciencedirect.com/science/article/pii/S0167923624002197,Volume 189,Feb-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923624002082,Volume 188,Jan-25
Flowing together or alone: Impact of collaboration in the metaverse,https://www.sciencedirect.com/science/article/pii/S0167923624001799,Volume 188,Jan-25
Strategic analysis of an ad-supported content platform’s subsidy policy: The perspective of the producer’s pricing strategies,https://www.sciencedirect.com/science/article/pii/S0167923624001829,Volume 188,Jan-25
Foot in both camps: How do activities on third-party online healthcare platforms affect doctors' demand on official online healthcare platforms?,https://www.sciencedirect.com/science/article/pii/S0167923624001830,Volume 188,Jan-25
"Paradigm changing metaverse: Future research directions in design, technology adoption and use, and impacts",https://www.sciencedirect.com/science/article/pii/S0167923624001404,Volume 188,Jan-25
Returning the “socio” to decision support research: Expanding beyond a purely technical mindset,https://www.sciencedirect.com/science/article/pii/S0167923624001854,Volume 188,Jan-25
"Know where to go: Make LLM a relevant, responsible, and trustworthy searchers",https://www.sciencedirect.com/science/article/pii/S0167923624001878,Volume 188,Jan-25
The evolution of organizations and stakeholders for metaverse ecosystems: Editorial for the special issue on metaverse part 1,https://www.sciencedirect.com/science/article/pii/S0167923624001866,Volume 188,Jan-25
A comparative analysis of the effect of initiative risk statement versus passive risk disclosure on the financing performance of Kickstarter campaigns,https://www.sciencedirect.com/science/article/pii/S0167923624001994,Volume 188,Jan-25
DeepSecure: A computational design science approach for interpretable threat hunting in cybersecurity decision making,https://www.sciencedirect.com/science/article/pii/S0167923624001842,Volume 188,Jan-25
Effects of visual-preview and information-sidedness features on website persuasiveness,https://www.sciencedirect.com/science/article/pii/S0167923624001945,Volume 188,Jan-25
What happens when platforms disclose the purchase history associated with product reviews?,https://www.sciencedirect.com/science/article/pii/S0167923624002008,Volume 188,Jan-25
